Kanji	Meanings	Primitive Alternatives	Primitives	Heisig Keyword (1-5)	Heisig Keyword (6+)	Primitive Keywords	Heisig Story	Heisig Comment	Radicals
[dollar_sign]	dollar sign (below)		[dollar_sign]		dollar sign (below)		HeisigStoryPlaceHolder		
[purse]	purse		[purse]		purse		HeisigStoryPlaceHolder		
[mending]	mending		[mending]		mending		HeisigStoryPlaceHolder		
[staple_gun]	staple gun		[staple_gun]		staple gun		HeisigStoryPlaceHolder		
[mane]	mane		[mane]		mane		HeisigStoryPlaceHolder		
[scrapbook]	scrapbook		[scrapbook]		scrapbook		HeisigStoryPlaceHolder		
[tail_feathers]	tail feathers		[tail_feathers]		tail feathers		HeisigStoryPlaceHolder		
[schoolhouse]	schoolhouse		[schoolhouse]		schoolhouse		HeisigStoryPlaceHolder		
[apron]	apron		[apron]		apron		HeisigStoryPlaceHolder		
[eel]	eel		[eel]		eel		HeisigStoryPlaceHolder		
[tall]	tall		[tall]		tall		HeisigStoryPlaceHolder		
[piglets]	piglets		[piglets]		piglets		HeisigStoryPlaceHolder		
[celery]	celery		[celery]		celery		HeisigStoryPlaceHolder		
[silver]	silver (left)		[silver]		silver (left)		HeisigStoryPlaceHolder		
[infant]	infant		[infant]		infant		HeisigStoryPlaceHolder		
[mama]	mama (top)		[mama]		mama (top)		HeisigStoryPlaceHolder		
[salad]	salad		[salad]		salad		HeisigStoryPlaceHolder		
[unhooked_scarf]	unhooked scarf		[unhooked_scarf]		unhooked scarf		HeisigStoryPlaceHolder		
[staples]	staples		[staples]		staples		HeisigStoryPlaceHolder		
[rag]	rag		[rag]		rag		HeisigStoryPlaceHolder		
[hairpin]	hairpin		[hairpin]		hairpin		HeisigStoryPlaceHolder		
[bushes]	bushes (side)		[bushes]		bushes (side)		HeisigStoryPlaceHolder		
[sparkler]	sparkler		[sparkler]		sparkler		HeisigStoryPlaceHolder		
[quiver]	quiver		[quiver]		quiver		HeisigStoryPlaceHolder		
[scarf]	scarf		[scarf]		scarf		HeisigStoryPlaceHolder		
[grow_up]	grow up		[grow_up]		grow up		HeisigStoryPlaceHolder		
[silage]	silage		[silage]		silage		HeisigStoryPlaceHolder		
[wings]	wings		[wings]		wings		HeisigStoryPlaceHolder		
[birdhouse]	birdhouse		[birdhouse]		birdhouse		HeisigStoryPlaceHolder		
[halo]	halo		[halo]		halo		HeisigStoryPlaceHolder		
[quarter]	quarter		[quarter]		quarter		HeisigStoryPlaceHolder		
[caverns]	caverns		[caverns]		caverns		HeisigStoryPlaceHolder		
[deer]	deer		[deer]		deer		HeisigStoryPlaceHolder		
[belt]	belt		[belt]		belt		HeisigStoryPlaceHolder		
[plow]	plow		[plow]		plow		HeisigStoryPlaceHolder		
[drag]	drag (bottom)		[drag]		drag (bottom)		HeisigStoryPlaceHolder		
[box]	box (small)		[box]		box (small)		HeisigStoryPlaceHolder		
[by_ones_side]	by ones side		[by_ones_side]		by ones side		HeisigStoryPlaceHolder		
[spear]	spear		[spear]		spear		HeisigStoryPlaceHolder		
[fenceposts]	fenceposts		[fenceposts]		fenceposts		HeisigStoryPlaceHolder		
[slingshot]	slingshot		[slingshot]		slingshot		HeisigStoryPlaceHolder		
[arm]	arm		[arm]		arm		HeisigStoryPlaceHolder		
[meeting]	meeting		[meeting]		meeting		HeisigStoryPlaceHolder		
[cornstalk]	cornstalk		[cornstalk]		cornstalk		HeisigStoryPlaceHolder		
[genie_in_the_bottle]	genie in the bottle		[genie_in_the_bottle]		genie in the bottle		HeisigStoryPlaceHolder		
[receipt]	receipt		[receipt]		receipt		HeisigStoryPlaceHolder		
[flood]	flood (bottom)		[flood]		flood (bottom)		HeisigStoryPlaceHolder		
[wall]	wall		[wall]		wall		HeisigStoryPlaceHolder		
[broom]	broom (top)		[broom]		broom (top)		HeisigStoryPlaceHolder		
[tool]	tool		[tool]		tool		HeisigStoryPlaceHolder		
[siesta]	siesta		[siesta]		siesta		HeisigStoryPlaceHolder		
[outhouse]	outhouse		[outhouse]		outhouse		HeisigStoryPlaceHolder		
[spring]	spring		[spring]		spring		HeisigStoryPlaceHolder		
[hook]	hook (bottom)		[hook]		hook (bottom)		HeisigStoryPlaceHolder		
[clothes_hanger]	clothes hanger		[clothes_hanger]		clothes hanger		HeisigStoryPlaceHolder		
[pegasus]	pegasus		[pegasus]		pegasus		HeisigStoryPlaceHolder		
[cabbage]	cabbage		[cabbage]		cabbage		HeisigStoryPlaceHolder		
[condor]	condor		[condor]		condor		HeisigStoryPlaceHolder		
[bucket_of_eels]	bucket of eels		[bucket_of_eels]		bucket of eels		HeisigStoryPlaceHolder		
[in_a_row_upside_down]	in a row upside down		[in_a_row_upside_down]		in a row upside down		HeisigStoryPlaceHolder		
[oaken_tub]	oaken tub		[oaken_tub]	oaken tub	oaken tub		Oaken tub		｜一
無	nothingness, none, ain't, nothing, nil, not		𠂉[oaken_tub]灬	nothingness	nothingness		This character is the Japanese character for the supreme philosophical principle of much Oriental thought: <b>nothingness</b>. Make use of the oaken <i>tub</i> from the previous frame, and add to that the <i>oven fire</i> at the bottom.		｜ノ一灬無
舞	dance, flit, circle, wheel		𠂉[oaken_tub]舛	dance	dance		The top two strokes show someone <i>reclining</i>, and the next six are a pictograph of an oaken <i>tub</i> ribbed with metal strips, like the kind once used for bathing. At the bottom, the <i>sunglasses</i> round off the character.		｜ノ一舛二夕無
[banner]	banner		方𠂉	banner	banner		Here we have a unique enclosure made up of two elements: compass and reclining. Think of the banner as a standard for rallying around; then imagine a crowd reclining before a compass (presumably to give them a "direction" in life). [6]		ノ方一
施	give, bestow, perform, alms		[banner]也	alms	alms		banner Banner . . . scorpion		ノ方一也
族	tribe, family		[banner]矢	tribe	tribe		Banner . . . dart.		方矢
旅	trip, travel		[banner]衣	trip	trip		Let the last 4 strokes, which are also the concluding strokes to the character for <i>garment</i>, represent a <i>rag</i> as its primitive meaning. We shall meet this only on one other occasion. This gives us as our elements: <i>banner</i> . . . <i>rag</i>.		ノ方一
[top_hat_and_scarf]	top hat and scarf		亠𧘇	top hat and scarf	top hat and scarf		HeisigStoryPlaceHolder		
𧘇	scarf		𧘇	scarf	scarf	clothes, scarf	HeisigStoryPlaceHolder		
衣	garment, clothes, dressing		衣[top_hat_and_scarf]	garment	garment		At the top we see the <i>top hat</i>, and at the bottom a pictographic representation of the folds of a <b>garment</b>. If you break the "4-fold" fold into 2 sets of 2 strokes, you will find it easier to remember.	Used as a primitive, the additional meanings of <i>cloak</i> or <i>scarf</i> will come in handy. What has to be noted particularly are the changes in shape the kanji can undergo when it becomes an element in other kanji. In fact, it is the most volatile of all the kanji we shall treat, and for that reason deserves special attention here. When it appears to the left, it looks like a hiragana ne (ネ) with an extra drop on the right, and we shall take it to mean <i>cloak</i>. At the bottom, when attached to the stroke immediately above it, the first two strokes (the <i>top hat</i>) are omitted, which we shall take to mean a <i>scarf</i>. On rare occasions, the element can be torn right across the middle, with the first 2 strokes appearing at the top and the last 4 at the bottom of another primitive or cluster of primitive, in which cases we shall speak of a <i>top hat and scarf</i>. And finally, of course, it can keep its original kanji shape, along with its original meaning of <i>garment</i> in general. Note that when any of the above forms have something beneath them (as in frame 429), the third from final stroke is "unhooked."	衣亠
