

Kanji	Meanings	Primitive Alternatives	Primitives	Heisig Keyword (1-5)	Heisig Keyword (6+)	Primitive Keywords	Heisig Story	Heisig Comment	Radicals

#####  丌 is not a table
丌	table								一｜ノ

# remove reference to 丌
具	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture		目[tool]	tool	tool		Here is the full kanji on which the last frame is based. If you can think of a table full of carpenter's <b>tools</b> of all sorts, each equipped with its own <i>eye</i> so that it can keep a watch over what you are doing with it, you won't have trouble later keeping the primitive and the kanji apart.		一ハ目
興	entertain, revive, retrieve, interest, pleasure		臼同[tool]	entertain	entertain		<i>Mortar</i> . . . <i>same</i> . . . <i>tool</i>. Be careful to make an image that keeps <i>same</i> in the middle.		臼口ハ冂一

# use 儿 like Heisig wanted instead of the very rare 兀 kanji
光	ray, light		小儿	ray	ray		There are really only 2 primitives here, <i>little</i> and <i>human legs</i>. The 4th stroke that separates them is added for reasons of aesthetics. (If that doesn't make sense, try writing the kanji without it and see how ugly the results look, even to your beginner's eye.) Now if you have wondered what those little particles of "dust" are that dance around in the light-<b>rays</b> that come through the window and fall on your desk, try imagining them as <i>little</i> and disembodied <i>human legs</i>, and you should have no trouble with this character.		一⺌儿

# Add 'fit' primitive as Heisig intended. Also, person is not a umbrella. Add 'meeting' primitive
命	fate, command, decree, destiny, life, appoint		合亼口卩	fate	fate		This character connotes life in general, but also the particular life that is <b>fated</b> one by virtue of the distinctive character with which one is born. Its elements are: <i>fit</i> . . . <i>stamp</i>. The bottom portion of <i>fit</i> is nudged to the left in order to make room for the <i>stamp</i>.		口𠆢卩一

# Use 'wealth' primitive
富	wealth, enrich, abundant		宀畐	wealth	wealth		Here we have the original character on which the primitive element for <b>wealth</b> is based. In keeping with the story introduced back then, note how all the <b>wealth</b> is kept under the roof of the same <i>house</i>.		口田宀

########### 𦰩 'scarecrow'
# Scarecrow actually has a kanji so no [scarecrow] .svg needed
𦰩			艹口夫			scarecrow	By twisting the final two strokes of our cabbage into a pair of legs (it's actually <i>husband</i>), we get a <b>scarecrow</b> with a cabbage for a head. [10]		
嘆	sigh, lament, moan, grieve, sigh of admiration		口𦰩	sigh	sigh		<i>Mouth</i> . . . <i>scarecrow</i>.		ノ一口⺾
難	difficult, impossible, trouble, accident, defect		𦰩隹	difficult	difficult		<i>Scarecrow</i> . . . <i>turkey</i>.		⺾隹大口亠
漢	Sino-, China		水𦰩	Sino-	Sino-		<i>Water</i> ... <i>scarecrow</i>. The key word has come to refer to things Chinese in general, including the kanji themselves (for which this character is used). [13]		氵⺾口一大

# use 艹 instead of  艸
薄	dilute, thin, weak (tea), pampas grass		艹水尃	dilute	dilute		Take a good look at this kanji: the "strong" element here is really the <i>flower</i>, not the <i>water</i> as you might have thought on first glance. To the right is the <i>acupuncturist</i> from frame 48. Taking the key word to connote <b>diluting</b> the vital humors of the body, we can imagine our <i>acupuncturist</i> performing his task with <i>flowers</i> in place of needles, and using their hollow stems to pipe <i>water</i> into the body of the patient.		十氵寸田丶⺾


###### add primitives
諜	spy out, reconnoiter		言世木	secret agent	secret agent				言木世
牒	label, genealogy, circular		片世木	label	label				片木世
卉	grass		十			haystack	The three <i>needles</i> stacked up give us a <b>haystack</b> (in which it may be harder to find the hay than the needles). In the rare case in which there is nothing underneath this element, as in the following frame, the last three strokes are written virtually the same as two hands—that is, the second stroke sweeps down slightly to the left. [5]		十廾
尭	high, far		卉儿	lofty		straw man	The two <i>human legs</i> added to the <i>haystack</i> (with the horizontal stroke to keep the two parts distinct from one another and avoid an ugly tangle) give us a <b>straw man</b>. [8]		十儿廾一
戈	halberd, arms, festival car, float, tasselled spear radical (no. 62)		弋			pike, fiesta	The picture in this primitive is what we may call a “tassled arrow.” A decorative tassle is strung on the shaft of an arrow to indicate that it is no longer a weapon but a symbol of a <b>fiesta</b>. As before, the first stroke is extended when it serves as a semi-enclosure. [4]		戈
圣	holy, sacred		又土			spool	Here we see a simplified drawing of a <b>spool</b> (the element for earth at the bottom) with threads being wound about it tightly (the crotch at the top). You may remember it either pictographically or by way of the primitives. [5]		又土
圥	mushroom		土儿			rice seedlings	As we mentioned back in frame 234, <b>rice seedlings</b> get an element all their own: soil and man legs becomes an ideograph of the spikelets of rice bunched together for implanting in the muddy soil of the paddy. [5]		儿土
复	return, repeat, repeatedly		𠂉日夂			double back	Either the idea of turning around and heading back during one’s travels, or of folding an object in half will do. The kanji depicts someone <b>doubling back</b> to the nearest inn to <i>lie down</i> and rest a weary pair of <i>walking legs</i> after a full <i>day’s</i> voyage. [9]		一ノ夂日
[purse]			中一			purse	By adding a single stroke at the bottom of the kanji for in, we get a sort of pictograph of a <b>purse</b>. [5]		中一
[staple_gun]			[staples]			staple gun	The familiar primitive for staples with an additional stroke cutting through the vertical stroke. It is easiest in these cases to make a primitive related to what we already know. Hence, we call it a <b>staple gun</b>.		
豕	pig, hog, pig radical (no. 152)		[piglets]			sow	Let this primitive represent a fat <b>sow</b>. Easier than pulling it apart into smaller elements is remembering its shape as a highly stylized pictograph. Practice its 7 strokes a few times before going on to examples of its use in the next six frames. [7]		豕
[wall]			一厶			wall	The elbow hanging under a ceiling will become our element for a <b>wall</b>. [3]		
[pegasus]			午隹			pegasus	By combining the horse (giving a twist to its final stroke a bit to the left to keep the strokes from overlapping) with the turkey, we get a flying horse or <b>Pegasus</b>. Be sure not to confuse with the turkey house 隺 from frame 567. [11]		
方	direction, person, alternative		亠刀	direction	direction	compass	Spinning a <i>dagger</i> about on its hilt on the top of a <i>top hat</i> - waiting to see in which <b>direction</b> it points when it comes to rest - one leaves to fate where one is going next. Take care in writing this character.	As a primitive, this character will take the sense of a <i>compass</i>, the instrument used to determine <i>direction</i>.	方
