Kanji	Field	OldValue	NewValue	Comment
# Default values for primitives from shadow version of Migaku kanji db excel sheet
砦	primitives		此石
禽	primitives		𠆢离
檎	primitives		木禽
燐	primitives		火粦
麟	primitives		鹿粦
鱗	primitives		魚粦
掩	primitives		扌奄
悛	primitives		心夋
駿	primitives		馬夋
峻	primitives		山夋
竣	primitives		立夋
犀	primitives	尸牛	尸[i_ching]丨牛
皐	primitives	白十	白[i_ching]十
畷	primitives		田叕
鎧	primitives		金豈
凱	primitives		豈几
韮	primitives		艹韭
芻	primitives	勹屮	勹屮勹屮
趨	primitives		走芻
云	primitives		二厶
而	primitives		一丿冂丨
倦	primitives	人卷	人巻
佃	primitives		人田
仔	primitives		人子
仇	primitives		人九
伽	primitives		人加
僑	primitives		人喬
倶	primitives		人具
侃	primitives		人口川
偲	primitives		人思
侭	primitives		人尽
脩	primitives		人丨攵肉
倅	primitives		人卒
做	primitives		人故
冴	primitives		冫牙
凋	primitives		冫周
凌	primitives	冫夌	冫圥夂
鳳	primitives		几一鳥
剽	primitives		票刀
劉	primitives	刀金刀	[receipt]刀金刀
厭	primitives	厂猒	厂日月犬
雁	primitives		厂人隹
贋	primitives		雁貝
厨	primitives		厂豆寸
仄	primitives		厂人
咎	primitives		夂人口
啄	primitives		口豕
吻	primitives		口勿
吃	primitives		口乞
噺	primitives		口新
噌	primitives	口曾	口曽
邑	primitives		口巴
喰	primitives		口食
埴	primitives		土直
坤	primitives		土申
壕	primitives		土豪
坦	primitives		土旦
埠	primitives		土阜
堰	primitives	土匽	土匚日女
堵	primitives		土者
姦	primitives	女奻	女女女
婢	primitives		女卑
婉	primitives		女宛
娼	primitives		女昌
妓	primitives		女支
娃	primitives		女圭
姪	primitives		女至
嬬	primitives		女需
姥	primitives		女老
姑	primitives		女古
姐	primitives		女且
孕	primitives		乃子
孜	primitives		子攵
宥	primitives		宀有
寓	primitives		宀禺
宋	primitives		宀木
屠	primitives		尸者
屁	primitives		尸比
屡	primitives	尸娄	尸米女
屍	primitives		尸死
嵩	primitives		山高
崚	primitives	山夌	山圥夂
嶺	primitives		山領
嵌	primitives		山甘欠
帖	primitives		巾占
庖	primitives		广包
廓	primitives		广郭
庇	primitives		广比
庄	primitives		广土
廟	primitives		广朝
彊	primitives	弓畺	弓一田一田一
弛	primitives		弓也
粥	primitives	弓米	弓米弓
挽	primitives	手免	扌免
撞	primitives	手童	扌童
扮	primitives	手分	扌分
捏	primitives		手日土
捺	primitives		手奈
掻	primitives	手又虫	扌又虫
撰	primitives	手巽	扌己己共
捌	primitives	手別	扌別
按	primitives	手安	扌安
揖	primitives	手咠	扌口耳
托	primitives	手乇	扌乇
撚	primitives	手然	扌然
挺	primitives	手廷	扌廷
擾	primitives	手憂	扌憂
擢	primitives	手翟	扌羽隹
摺	primitives	手習	扌習
捷	primitives	手疌	扌ヨ走
抉	primitives	手夬	扌夬
怯	primitives		心去
惟	primitives		心隹
怜	primitives		心令
惇	primitives		心享
恰	primitives		心合
恢	primitives		心灰
悌	primitives		心弟
澪	primitives		水零
洸	primitives		水光
滉	primitives	水晃	水日光
漱	primitives	水欶	水束欠
洵	primitives		水旬
滲	primitives	水參	水厶厶参
沐	primitives		水木
泪	primitives		水目
渾	primitives		水軍
涜	primitives		水売
澱	primitives		水殿
洛	primitives		水各
汝	primitives		水女
漉	primitives		水鹿
瀕	primitives	水頻	水頻
溌	primitives		水発
湊	primitives		水奏
淋	primitives		水林
浩	primitives		水告
汀	primitives		水丁
鴻	primitives		水工鳥
湛	primitives		水甚
渥	primitives		水屋
灘	primitives	水難	水難
汲	primitives		水及
瀞	primitives	水靜	水静
沌	primitives		水屯
淀	primitives		水定
涅	primitives		水日土
斧	primitives		父斤
猾	primitives		犬骨
狡	primitives		犬交
狸	primitives		犬里
狽	primitives		犬貝
狗	primitives		犬句
狐	primitives		犬瓜
狛	primitives		犬白
獅	primitives		犬師
狒	primitives		犬弗
莨	primitives		艹良
茉	primitives		艹末
苺	primitives		艹母
萩	primitives		艹秋
藝	primitives	蓺云	艹圥土丸云
薙	primitives		艹雉
蓑	primitives		艹衰
苔	primitives		艹台
蕩	primitives		艹湯
蔓	primitives		艹曼
芙	primitives		艹夫
蓉	primitives		艹容
薯	primitives		艹署
菖	primitives		艹昌
蕉	primitives		艹焦
蕎	primitives		艹喬
蕗	primitives		艹路
茄	primitives		艹加
蓬	primitives	艹逢	艹夂丰辶
芥	primitives		艹介
葡	primitives	艹匍	艹勹甫
萄	primitives	艹匋	艹勹缶
蕃	primitives		艹番
苓	primitives		艹令
菰	primitives		艹孤
茅	primitives		艹矛
芭	primitives		艹巴
苅	primitives		艹刈
葵	primitives	艹癸	艹癶天
葺	primitives	艹咠	艹口耳
蕊	primitives	艹惢	艹心心心
茸	primitives		艹耳
芹	primitives		艹斤
苫	primitives		艹占
蒼	primitives		艹倉
藁	primitives	艹槀	艹高木
蕪	primitives		艹無
藷	primitives	艹諸	艹言者
薮	primitives		艹数
蒜	primitives	艹祘	艹示示
蕨	primitives	艹厥	艹厂屰欠
蔚	primitives		艹尉
茜	primitives		艹西
莞	primitives		艹完
蒐	primitives		艹鬼
菅	primitives		艹官
葦	primitives		艹韋
迪	primitives		辶由
辿	primitives		辶山
迂	primitives		辶于
遁	primitives		辶盾
逼	primitives		辶畐
逗	primitives		辶豆
隕	primitives		阜員
憑	primitives	馮心	冫馬心
惹	primitives		若心
悉	primitives		釆心
惣	primitives		物心
恕	primitives		如心
昴	primitives	日卯	日[receipt]卩
晟	primitives		日成
暈	primitives		日軍
暉	primitives		日軍
旱	primitives		日干
晏	primitives		日安
晨	primitives		日辰
晒	primitives		日西
曝	primitives		日暴
昂	primitives	日卬	日匚卩
昏	primitives		氏日
晦	primitives		日毎
膿	primitives		肉農
腑	primitives		肉府
胱	primitives		肉光
胚	primitives	肉丕	肉不一
肛	primitives		肉工
脆	primitives		肉危
肋	primitives		肉力
腔	primitives		肉空
肱	primitives	肉厷	肉𠂇厶
楓	primitives		木風
椋	primitives		木京
榛	primitives	木秦	木𡗗禾
櫛	primitives		木節
樵	primitives		木焦
梯	primitives		木弟
柑	primitives		木甘
杭	primitives		木亢
柊	primitives		木冬
柚	primitives		木由
椀	primitives		木宛
栂	primitives		木母
柾	primitives		木正
榊	primitives	木神	木神
樫	primitives		木堅
槙	primitives		木真
楢	primitives	木酋	木丷酉
橘	primitives	木矞	木矛冂儿口
